Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;empresas;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2011;2011/12;Sem Informação;"""ALOJAMENTO""";RUA DAS GARDÊNIAS, 367;SI;JARDIM PARAÍSO;Valinhos;São Paulo
2011;2011/08;Sem Informação;"""CONFECÇÃO A""";RUA IMIGRANTES, 525;SI;JARDIM IPIRANGA;Americana;São Paulo
2011;2011/08;Sem Informação;"""CONFECÇÃO B""";RUA JOSÉ JORGE PATRÍCIO, 785;SI;Sem Informação;Santa Bárbara d'Oeste;São Paulo
2012;2012/04;Sem Informação;"""FAZENDA JACINTINHO""";X;09700-000;Sem Informação;Aguaí;São Paulo
2012;2012/03;Sem Informação;"""MARIA STEFE CONFECÇÃO""";RUA JOÃO LUIZ MAZER, 146;13465-000;SÃO JERÔNIMO;Americana;São Paulo
2009;2009/02;49.205.834/0001-22;002- EMURG EMPR.URB.GJA SA(LIQUIDANTES);RUA WASHINGTON,227;11410-150;VILA MAIA;Guarujá;São Paulo
2009;2009/06;55.204.002/0001-94;01 CONCREBASE COM E SERV CONCRETAGEM LTDA;R. VINTE OITO DE OUTUBRO, 259;18087-080;JD DO PAÇO;Sorocaba;São Paulo
2009;2009/10;00.900.716/0001-45;01 DB BRASIL COM DE EQUIPAMENTOS LTDA;RUA DOMINGOS DE MORAIS,2102;04036-000;VILA MARIANA;São Paulo;São Paulo
2009;2009/06;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2008;2008/10;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/04;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/07;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/12;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/10;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2010;2010/04;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2010;2010/08;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2012;2012/04;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2012;2012/03;05.789.313/0001-94;01 ENXUTO SUPERMERCADOS LTDA;RUA OTTO HERBEST,719;13150-000;VILA JOSE KALIL AUN;Cosmópolis;São Paulo
2009;2009/05;03.757.239/0002-80;022008SPEED WORK TRANSPORTES LTDA;RUA JOSE BERNARDO PINTO,554;02055-001;VILA GUILHERME;São Paulo;São Paulo
2011;2011/05;05.471.660/0008-40;02PERFOR SP VEICULOS LTDA;AV NOVE DE JULHO 129;12000-000;CENTRO;Taubaté;São Paulo
2009;2009/01;36.542.025/0004-07;03 BRQ SOLUCOES EM INFORMATICA SA;RUA GOMES DE CARVALHO,1356;04547-005;VILA OLIMPIA;São Paulo;São Paulo
2009;2009/08;07.886.254/0001-06;03 MEIO AMBIENTE ENGENHARIA LTDA;RUA GALEAO COUTINHO 714;11365-000;Sem Informação;São Vicente;São Paulo
2010;2010/11;07.886.254/0001-06;03 MEIO AMBIENTE LTDA ME;AVENIDA GALEÃO COUTINHO 714;11300-000;Sem Informação;São Vicente;São Paulo
2010;2010/08;07.886.254/0001-06;03 MEIO AMBIENTE LTDA -ME;AV GALEÃO COUTINHO 714;11365-000;PARQUE SAO VICENTE;São Vicente;São Paulo
2008;2008/06;00.109.234/0001-71;047 - URSOS COMERCIO E FLORICULTURA LTDA ME;RUA DR ADEMAR QUEIROZ DE MORAES,71;04623-060;BROOKLIN PAULISTA;São Paulo;São Paulo
2009;2009/01;01.781.409/0001-55;05 S INDUSTRIA COM COSMETICOS LTDA ME;RUA DIARIO DE NOTICIAS,51;04327-160;JD IMPRENSA;São Paulo;São Paulo
2010;2010/01;01.781.409/0001-55;05 S INDUSTRIA COM COSMETICOS LTDA ME;RUA DIARIO DE NOTICIAS,51;04327-160;JD IMPRENSA;São Paulo;São Paulo
2009;2009/02;59.355.123/0001-98;070 COM CALC GOMES E SILVA ITU LTDA ME;RUA SANTA RITA, 1025;13300-065;CENTRO;Itu;São Paulo
2010;2010/07;59.355.123/0001-98;070 COM CALC GOMES E SILVA ITU LTDA ME;RUA SANTA RITA, 1025;13300-065;CENTRO;Itu;São Paulo
2008;2008/10;08.308.502/0001-96;0800 NAUTICA COMERCIO E SERVIÇOS LTDA;AV EUGENIO FISCHER 300 LJ 03/06;11421-000;JD GUAIUBA;Guarujá;São Paulo
2009;2009/09;05.332.239/0001-82;089 EQUIMIX LTDA;AVENIDA PIRELLI,1051;18103-085;JD BOA ESPERANCA;Sorocaba;São Paulo
2010;2010/02;60.908.639/0001-00;08SOBROSA MELLO CONSTRUTORA LTDA;TRAVUBIRASSANGA,35;04614-050;CAMPO BELO;São Paulo;São Paulo
2009;2009/04;53.934.626/0001-31;0EHARA COM MAT ELETRICOS E HIDRAULICOS LTDA;AV DOS LATINOS,470;03572-000;JD STA TEREZINHA;São Paulo;São Paulo
2010;2010/03;53.934.626/0001-31;0EHARA COM MAT ELETRICOS E HIDRAULICOS LTDA;AV DOS LATINOS,470;03572-000;JD STA TEREZINHA;São Paulo;São Paulo
2010;2010/09;74.536.491/0001-26;0R SERVICE COMERCIO SERV EM IMAGENS LTDA;RUA TITICACA,706;06412-080;JD REGINA ALICE;Barueri;São Paulo
2011;2011/03;08.213.884/0001-74;1 CAM DE MED JUIZ ARB DE MAT E REG S/S;RUA JOSÉ BONIFÁCIO, 691;15990-000;CENTRO;Matão;São Paulo
2011;2011/08;51.795.615/0001-92;1 OF R I T D C P J E 1 TAB P L T DE;RUA WASHINGTON LUIZ;14401-220;JDM BOA ESPERANCA;Franca;São Paulo
2011;2011/02;51.241.263/0001-23;1 OF REG IMOVEIS TIT D C P JURID DE OSASCO;AV SANTO ANTONIO,1986;06083-200;VILA OSASCO;Osasco;São Paulo
2011;2011/12;05.898.224/0001-86;1 OF.R.I.T.D.C.P.J. SOROCABA;RUA DA PENHA,,1035;18010-004;CENTRO;Sorocaba;São Paulo
2009;2009/07;51.327.575/0001-54;1 OFICIAL DE REGISTRO DE IM., TIT. E DOC. E CIVIL DE PJ;AV LIMEIRA, 222   5º ANDAR;13414-018;VILA REZENDE;Piracicaba;São Paulo
2009;2009/11;51.327.575/0001-54;1 OFICIAL DE REGISTRO DE IMOVEIS, TIT.E DOC. CIVIL PJ;AV LIMEIRA 222 5 ANDAR;13414-018;VILA REZENDE;Piracicaba;São Paulo
2009;2009/10;51.795.615/0001-92;1 OFICIAL REG IM TIT DOC CIV PJ FRC;RUA WASHINGTON LUIZ, 1901;14401-220;JD BOA ESPERANCA;Franca;São Paulo
2010;2010/09;51.653.780/0001-00;1 TABELIAO DE NOTAS;AV. CONSELHEIRO NEBIAS, N,795;11045-003;BOQUEIRAO;Santos;São Paulo
2012;2012/01;59.579.284/0001-65;1 TABELIAO DE PROTESTO DE LETRAS E TITULOS DA COMA;AV BRIG LUIS ANTONIO 371 SOBRELOJA;01317-000;BELA VISTA;São Paulo;São Paulo
2008;2008/09;50.828.516/0001-05;1 TABELIONATO DE NOTAS DE BAURU-SP.;RUA BANDEIRANTES,9-58;17015-011;CENTRO;Bauru;São Paulo
2009;2009/05;45.575.156/0001-39;10 TABELIAO DE NOTAS DA CAPITAL;AVENIDA JABAQUARA,221;04045-000;MIRANDOPOLIS;São Paulo;São Paulo
2011;2011/06;45.575.156/0001-39;10 TABELIAO DE NOTAS DA CAPITAL;AVENIDA JABAQUARA,221;04045-000;MIRANDOPOLIS;São Paulo;São Paulo
2009;2009/10;45.575.156/0001-39;10 TABELIAO DE NOTAS DA CAPITAL;AVENIDA JABAQUARA,221;04045-000;MIRANDOPOLIS;São Paulo;São Paulo
2012;2012/01;07.978.127/0001-29;100 POR CENTO PROM.COM.DE BOLSAS LTDA.;RUA JOAQUIM LAPAS VEIGA,491;05550-010;JARDIM GILDA MARIA;São Paulo;São Paulo
2010;2010/07;07.978.127/0001-29;100 POR CENTO PROM.COM.DE BOLSAS LTDA.;RUA JOAQUIM LAPAS VEIGA,491, 503 E 509;05550-010;JARDIM GILDA MARIA;São Paulo;São Paulo
2010;2010/07;Sem Informação;100 QUERER IND E COM DE CALCADOS;RUA MOE, 701 A;03660-040;VILA RE;São Paulo;São Paulo
2008;2008/10;06.346.182/0001-33;100 SAUDE ACADEMIA DE ESPORTES E LAZER LTDA;RUA DOUTOR DIOGO DE FARIA,1099;04037-003;VILA CLEMENTINO;São Paulo;São Paulo
2010;2010/01;Sem Informação;100% MORENA;RUA CASEMIRO DE ABREU, 649;SI;BRÁS;São Paulo;São Paulo
2008;2008/11;03.135.978/0001-59;1000 FOLHAS  PAPELARIA LTDA ME;RUA AJUDANTE ALBANO, 590;13416-030;Sem Informação;Piracicaba;São Paulo
2008;2008/08;05.060.232/0001-59;1000 GRAUS LANCHONETE E PIZZARIA LTDA;RUA CONEGO ANRONIO MANZI,40/42;08150-310;JD ROBRU;São Paulo;São Paulo
2011;2011/01;05.060.232/0001-59;1000 GRAUS PADARIA, LANCHONETE E PIZZARIA LTDA;R CONEGO ANTONIO MANZI,40/42;08150-310;JD ROBRU;São Paulo;São Paulo
2010;2010/12;03.573.330/0001-64;1000 MARCAS LTDA;RETIRO,114;03073-005;TATUAPE;São Paulo;São Paulo
2011;2011/11;03.573.330/0001-64;1000 MARCAS LTDA;RETIRO,114;03073-005;TATUAPE;São Paulo;São Paulo
2010;2010/12;07.753.797/0001-47;1000 SERVICES COM DE EPI S LTDA EPP;RETIRO,114;03073-005;TATUAPE;São Paulo;São Paulo
2011;2011/11;07.753.797/0001-47;1000 X SERVICOS ADMINISTRATI. LTDA EPP;RETIRO,114 AND 1;03073-005;TATUAPE;São Paulo;São Paulo
2009;2009/03;04.336.789/0001-07;1000TONCAR AUTO SERV E COM LTDA ME;RUA CERRO CORA,2431;05061-450;ALTO DA LAPA;São Paulo;São Paulo
2009;2009/03;08.286.188/0001-98;1001 CORES COMERCIO DE CONFECCOES E ESTAMPARIA LTDA;RUA MANIUTUBA,109;03411-130;VILA SANTO ANTONIO;São Paulo;São Paulo
2009;2009/05;61.508.537/0003-13;1001 IND.ARTEF.BORRACHA LTDA;AV. LINO ANTONIO NOGUEIRA,832;07024-030;J.STA.FRANCISCA;Guarulhos;São Paulo
